,incident_type,finding,action_taken
922,Citizen complaint,Sustained,No action
923,Citizen complaint,Unfounded,No action
924,Citizen complaint,Sustained,No action
925,Citizen complaint,Not Sustained,No action
926,Citizen complaint,Sustained,Termination
927,Citizen complaint,Sustained,No action
930,Citizen complaint,Sustained,Suspension
933,Citizen complaint,Pending,No action
934,Citizen complaint,Pending,No action
936,Citizen complaint,Unfounded,No action
937,Citizen complaint,Exonerated,No action
938,Citizen complaint,Exonerated,No action
939,Citizen complaint,Exonerated,No action
940,Citizen complaint,Exonerated,No action
941,Citizen complaint,Unfounded,No action
943,Citizen complaint,Exonerated,No action
944,Citizen complaint,Unfounded,No action
945,Citizen complaint,Not Sustained,No action
946,Citizen complaint,Exonerated,No action
947,Citizen complaint,Not Sustained,No action
948,Citizen complaint,Not Sustained,No action
949,Citizen complaint,Not Sustained,No action
950,Citizen complaint,Not Sustained,No action
951,Citizen complaint,Sustained,Oral Reprimand
953,Citizen complaint,Unfounded,No action
954,Citizen complaint,Not Sustained,No action
955,Citizen complaint,Not Sustained,No action
956,Citizen complaint,Not Sustained,No action
957,Citizen complaint,Not Sustained,No action
958,Citizen complaint,Not Sustained,No action
959,Citizen complaint,Not Sustained,No action
960,Citizen complaint,Not Sustained,No action
961,Citizen complaint,Sustained,Oral Reprimand
962,Citizen complaint,Sustained,No action
965,Citizen complaint,Not Sustained,No action
966,Citizen complaint,Unfounded,No action
967,Citizen complaint,Not Sustained,No action
968,Citizen complaint,Not Sustained,No action
969,Citizen complaint,Sustained,Oral Reprimand
971,Citizen complaint,Not Sustained,No action
972,Citizen complaint,Not Sustained,No action
973,Citizen complaint,Not Sustained,No action
974,Citizen complaint,Not Sustained,No action
975,Citizen complaint,Not Sustained,No action
976,Citizen complaint,Not Sustained,No action
979,Citizen complaint,Sustained,No action
980,Citizen complaint,Sustained,No action
981,Citizen complaint,Sustained,No action
982,Citizen complaint,Exonerated,No action
983,Citizen complaint,Unfounded,No action
984,Citizen complaint,Sustained,Oral Reprimand
986,Citizen complaint,Sustained,No action
987,Citizen complaint,Not Sustained,No action
989,Citizen complaint,Unfounded,No action
990,Citizen complaint,Unfounded,No action
991,Citizen complaint,Unfounded,No action
995,Citizen complaint,Pending,No action
996,Citizen complaint,Pending,No action
997,Citizen complaint,Pending,No action
998,Citizen complaint,Not Sustained,No action
1001,Citizen complaint,Sustained,No action
1002,Citizen complaint,Sustained,No action
1003,Citizen complaint,Sustained,Oral Reprimand
1004,Citizen complaint,Not Sustained,No action
1005,Citizen complaint,Not Sustained,No action
1006,Citizen complaint,Sustained,Resigned/Retired and Charges Pending
1007,Citizen complaint,Not Sustained,No action
1012,Citizen complaint,Not Sustained,No action
1013,Citizen complaint,Not Sustained,No action
1014,Citizen complaint,Exonerated,No action
1015,Citizen complaint,Sustained,No action
1016,Citizen complaint,Not Sustained,No action
1017,Citizen complaint,Exonerated,No action
1018,Citizen complaint,Unfounded,No action
1019,Citizen complaint,Exonerated,No action
1022,Citizen complaint,Not Sustained,No action
1023,Citizen complaint,Exonerated,No action
1024,Citizen complaint,Sustained,Oral Reprimand
1025,Citizen complaint,Not Sustained,No action
1026,Citizen complaint,Not Sustained,No action
1030,Citizen complaint,Unfounded,No action
1031,Citizen complaint,Not Sustained,No action
1032,Citizen complaint,Pending,No action
1033,Citizen complaint,Sustained,No action
1034,Citizen complaint,Sustained,Suspension
1035,Citizen complaint,Sustained,No action
1040,Citizen complaint,Sustained,Suspension
1041,Citizen complaint,Unfounded,No action
1043,Citizen complaint,Not Sustained,No action
1044,Citizen complaint,Not Sustained,No action
