,incident_type,finding,action_taken
1729,Internal investigation,Sustained,No action
1730,Internal investigation,Sustained,No action
1734,Internal investigation,Sustained,No action
1735,Internal investigation,Sustained,No action
1755,Internal investigation,Not Sustained,No action
1760,Internal investigation,Sustained,No action
1761,Internal investigation,Sustained,No action
1762,Internal investigation,Unfounded,No action
1783,Internal investigation,Sustained,No action
1784,Internal investigation,Sustained,No action
1785,Internal investigation,Sustained,No action
1787,Internal investigation,Sustained,No action
1788,Internal investigation,Sustained,No action
1789,Internal investigation,Sustained,No action
1790,Internal investigation,Sustained,No action
1791,Internal investigation,Sustained,No action
1792,Internal investigation,Sustained,No action
1794,Internal investigation,Sustained,No action
1795,Internal investigation,Sustained,No action
1796,Internal investigation,Sustained,No action
1797,Internal investigation,Sustained,No action
1798,Internal investigation,Sustained,No action
1800,Internal investigation,Sustained,No action
1801,Internal investigation,Exonerated,No action
1802,Internal investigation,Sustained,No action
1803,Internal investigation,Unfounded,No action
1804,Internal investigation,Sustained,No action
1809,Internal investigation,Not Sustained,No action
1810,Internal investigation,Unfounded,No action
1814,Internal investigation,Not Sustained,No action
1815,Internal investigation,Unfounded,No action
1817,Internal investigation,Sustained,No action
1818,Internal investigation,Sustained,No action
1819,Internal investigation,Filed,No action
1820,Internal investigation,Filed,No action
1822,Internal investigation,Not Sustained,No action
1823,Internal investigation,Sustained,No action
1824,Internal investigation,Sustained,No action
1825,Internal investigation,Sustained,No action
1826,Internal investigation,Sustained,No action
1827,Internal investigation,Not Sustained,No action
1828,Internal investigation,Sustained,No action
1831,Internal investigation,Withdrawn,No action
1832,Internal investigation,Unfounded,No action
1833,Internal investigation,Withdrawn,No action
1834,Internal investigation,Not Sustained,No action
1835,Internal investigation,Unfounded,No action
1837,Internal investigation,Unfounded,No action
1838,Internal investigation,Unfounded,No action
1846,Internal investigation,Unfounded,No action
1847,Internal investigation,Unfounded,No action
1850,Internal investigation,Sustained,No action
1862,Internal investigation,Sustained,No action
1863,Internal investigation,Not Sustained,No action
1868,Internal investigation,Sustained,No action
1871,Internal investigation,Sustained,No action
1879,Internal investigation,Sustained,No action
1888,Internal investigation,Sustained,No action
1889,Internal investigation,Sustained,No action
1896,Internal investigation,Sustained,No action
1901,Internal investigation,Sustained,No action
1902,Internal investigation,Sustained,No action
1903,Internal investigation,Sustained,No action
1912,Internal investigation,Sustained,No action
1916,Internal investigation,Sustained,No action
1917,Internal investigation,Sustained,No action
1918,Internal investigation,Sustained,No action
1919,Internal investigation,Sustained,No action
1920,Internal investigation,Sustained,No action
1921,Internal investigation,Sustained,No action
1922,Internal investigation,Unfounded,No action
